102565|ART C|CRIAÇÃO INSTITUCIONAL|ART & C COMUNICAÇÃO INTEGRADA LTDA|8392|8392|222/2013|25/11/2013 a 24/05/2014|420293/2013|8564.40|2014-01-17|CRIAÇÃO|SUPER LIGA 66|
103571|DABLIU A|PMJP|RADIO AREIA DOURADA LTDA|929|40487|222/2013 ADITIVO- 04|25/05/2015 A 24/11/2015|420133/2015|11105.53|2015-09-25|VEICULAÇÃO|RADIO CABO BRANCO FM|
103469|TAG GROUP|SAUDE/INFR|MAIS PB PORTAL DE NOTICIAS E COM. LTDA|1000272|1002185|222/2013 ADITIVO- 04|25/05/2015 A 24/11/2015|420114/2015|19400.00|2015-07-29|VEICULAÇÃO|MAIS PB|
103246|TAG GROUP|FESTIVAL DE MUSICA CLASSICA 2|REDE LITORANEA DE RADIO LTDA|2091|1001627|222/2013 ADITIVO- 03|25/11/2014 a24/05/2015|420034/2015|4345.60|2015-02-06|VEICULAÇÃO|RADIO CBN|
104128|TAG GROUP|MÍDIA NOVEMBRO|TELEVISAO CABO BRANCO|1523|1003154|222/2013 ADITIVO- 06|25/05/2015 A 24/11/2016|420109/2016|5820.00|2016-12-21|VEICULAÇÃO|G1|
104514|SUPERLIGA 66|ADAPTAÇÃO ANUNCIOS|SUPERLIGA 66 SERVIÇOS LTDA|1001454|1001454|222/2013 ADITIVO- 08|25/05/2017 A 24/11/2017|420108/2017|3158.40|2017-08-14|CRIAÇÃO|SUPERLIGA 66|
103243|TAG GROUP|FESTIVAL DE MUSICA CLASSICA 2|EMPRESA DE TELEVISÃO J. PESSOA|31219|1001617|222/2013 ADITIVO- 03|25/11/2014 a24/05/2015|420034/2015|10098.67|2015-02-06|VEICULAÇÃO|TV CORREIO|
103662|TAG GROUP|ADESIVO BANCO CIDADAO|TAG GROUP COMUNICAÇÃO LTDA|1002465|1002465|222/2013 ADITIVO- 04|25/05/2015 A 24/11/2015|420149/2015|3489.92|2015-10-20|CRIAÇÃO|TAG ZAG|
104682|SUPERLIGA 66|FAIXAS DIA DOS PAIS|ADESIVO DOIS COMUNICAÇÃO VISUA LTDA|1002367|1001514|222/2013 ADITIVO- 08|25/05/2017 A 24/11/2017|420108/2017|217.35|2017-10-11|PRODUÇÃO|ADESIVO 2|
103304|DABLIU A|CARNAVAL TRADIÇÃO|ALFREDO PEREIRA DA SILVA|1000697|40160|222/2013 ADITIVO- 03|25/11/2014 a24/05/2015|420035/2015|1840.00|2015-05-05|PRODUÇÃO|JP BALÕES|
